order_id,order_date,store,channel,customer_segment,city,product_category,product_name,unit_price,quantity,discount_rate,voucher_amount,revenue,payment_method,delivery_days,order_status,returned_qty,is_promo,margin_rate,profit,month
BA36ECBC,2024-09-17,Store C,Offline,Small Business,Daegu,Apparel,Hoodie,85.32,4,0.185,9.34,268.8,Card,3.9,Completed,0,1,0.245,65.86,2024-09
C49151C2,2024-10-04,Store C,Online,Consumer,Seoul,Home,Vacuum,289.19,3,0.0,0.48,867.09,Bank Transfer,3.2,Completed,0,0,0.27,234.11,2024-10
CE446721,2024-07-23,Store C,Online,Corporate,Busan,Grocery,Milk 1L,24.9,4,0.213,14.44,63.95,Card,2.2,Returned,2,1,0.277,17.71,2024-07
DF31F605,2024-10-08,Store A,Online,Consumer,Seoul,Apparel,Jeans,73.74,3,0.137,1.64,189.27,Card,2.6,Returned,3,0,0.368,69.65,2024-10
15EA6200,2024-06-29,Store A,Offline,Corporate,Incheon,Home,Vacuum,24.07,3,0.094,0.18,65.24,Card,2.9,Completed,0,0,0.418,27.27,2024-06
AE1303A9,2024-07-09,Store A,Online,Small Business,Seoul,Electronics,Laptop,210.71,6,0.05,1.29,1199.76,Bank Transfer,1.1,Completed,0,0,0.294,352.73,2024-07
BFD0F299,2024-06-05,Store A,Offline,Consumer,Daegu,Electronics,Headphones,582.88,4,0.227,8.77,1793.49,Card,3.9,Completed,0,1,0.221,396.36,2024-06
F8FF5406,2024-01-10,Store D,Offline,Consumer,Seoul,Apparel,Hoodie,113.31,2,0.172,6.63,181.01,Card,2.4,Completed,0,1,0.242,43.8,2024-01
B0A94A51,2024-02-09,Store B,Online,Consumer,Daegu,Electronics,Smartwatch,800.02,3,0.139,2.91,2063.54,Card,1.0,Returned,2,0,0.267,550.97,2024-02
81CCF630,2024-01-12,Store A,Offline,Consumer,Seoul,Home,Cookware Set,295.12,3,0.041,1.65,847.41,Card,3.0,Completed,0,0,0.208,176.26,2024-01
E16F5027,2024-08-20,Store E,Online,Corporate,Incheon,Apparel,Jeans,70.42,5,0.229,2.67,268.8,Cash,2.1,Cancelled,0,1,0.197,52.95,2024-08
BCBE296C,2024-04-24,Store E,Online,Small Business,Seoul,Home,Air Purifier,240.62,5,0.102,0.5,1079.88,Cash,5.0,Completed,0,0,0.427,461.11,2024-04
2E6D3442,2024-07-04,Store E,Offline,Consumer,Daejeon,Electronics,Tablet,780.3,5,0.124,3.12,3414.59,Card,2.3,Completed,0,0,0.301,1027.79,2024-07
175E6B84,2024-11-27,Store E,Offline,Consumer,Seoul,Apparel,Jeans,83.04,5,0.106,1.99,369.2,Card,1.7,Completed,0,0,0.222,81.96,2024-11
736DB613,2024-03-31,Store A,Online,Consumer,Seoul,Beauty,Sunscreen,32.39,1,0.039,0.86,30.27,Card,3.6,Completed,0,0,0.337,10.2,2024-03
735466FB,2024-05-29,Store B,Offline,Corporate,Seoul,Grocery,Rice 5kg,19.86,4,0.126,2.87,66.56,Card,2.2,Completed,0,0,0.198,13.18,2024-05
3BA08112,2024-10-02,Store D,Offline,Consumer,Seoul,Electronics,Headphones,793.44,3,0.156,13.08,1995.91,Card,2.1,Completed,0,1,0.203,405.17,2024-10
C4777632,2024-03-24,Store D,Online,Consumer,Seoul,Grocery,Coffee 500g,13.34,2,0.065,0.56,24.39,Bank Transfer,3.6,Completed,0,0,0.224,5.46,2024-03
11F0C7B1,2024-01-29,Store A,Offline,Corporate,Daejeon,Home,Desk,278.65,5,0.119,17.31,1210.14,E-Wallet,1.8,Completed,0,1,0.396,479.22,2024-01
7FACE699,2024-04-15,Store D,Online,Corporate,Daejeon,Home,Chair,84.35,4,0.105,1.1,300.87,E-Wallet,1.3,Completed,0,0,0.262,78.83,2024-04
216AAA78,2024-02-28,Store A,Online,Consumer,Seoul,Home,Air Purifier,229.86,3,0.173,5.67,564.61,E-Wallet,5.1,Completed,0,1,0.109,61.54,2024-02
5F8795DF,2024-12-05,Store A,Online,Corporate,Daejeon,Electronics,Smartwatch,622.92,2,0.076,1.76,1149.4,Cash,3.7,Completed,0,0,0.365,419.53,2024-12
BDBF8B89,2024-10-21,Store C,Offline,Consumer,Busan,Electronics,Smartphone,712.2,5,0.118,0.22,3140.58,Bank Transfer,2.7,Completed,0,0,0.259,813.41,2024-10
2A178C91,2024-08-19,Store C,Offline,Consumer,Seoul,Home,Lamp,142.46,1,0.135,1.08,122.15,Card,3.0,Completed,0,0,0.151,18.44,2024-08
4B06DC5C,2024-11-14,Store C,Online,Small Business,Incheon,Apparel,T-Shirt,112.93,2,0.074,0.54,208.61,Cash,3.6,Completed,0,0,0.258,53.82,2024-11
2B0A614F,2024-10-20,Store A,Online,Corporate,Incheon,Grocery,Rice 5kg,26.03,2,0.034,0.57,49.72,Card,4.2,Completed,0,0,0.316,15.71,2024-10
4390DE37,2024-03-09,Store E,Offline,Consumer,Daejeon,Apparel,Jeans,45.27,4,0.047,0.22,172.35,Card,2.1,Completed,0,0,0.308,53.08,2024-03
85595D9D,2024-11-21,Store B,Online,Consumer,Seoul,Electronics,Smartphone,628.84,3,0.133,0.22,1635.39,Bank Transfer,3.4,Completed,0,0,0.406,663.97,2024-11
80716225,2024-07-15,Store A,Offline,Consumer,Incheon,Beauty,Lipstick,28.65,3,0.081,0.09,78.9,Card,2.4,Completed,0,0,0.22,17.36,2024-07
3A4C216C,2024-10-21,Store E,Offline,Consumer,Seoul,Apparel,Dress,45.83,4,0.08,0.93,167.72,Card,2.8,Completed,0,0,0.283,47.46,2024-10
C15628AC,2024-11-23,Store E,Online,Consumer,Seoul,Home,Lamp,131.89,4,0.148,2.58,446.9,E-Wallet,3.2,Completed,0,0,0.231,103.23,2024-11
26274E96,2024-04-26,Store E,Offline,Consumer,Seoul,Beauty,Moisturizer,69.37,4,0.182,1.87,225.11,Card,3.0,Completed,0,1,0.172,38.72,2024-04
53BF40D4,2024-02-10,Store D,Online,Consumer,Daejeon,Grocery,Coffee 500g,21.01,5,0.195,18.35,66.22,Card,3.9,Completed,0,1,0.342,22.65,2024-02
277B1F6A,2024-03-24,Store D,Offline,Corporate,Daegu,Beauty,Sunscreen,56.88,4,0.051,9.27,206.65,E-Wallet,3.6,Completed,0,1,0.312,64.47,2024-03
9F9908BE,2024-06-04,Store C,Offline,Corporate,Daegu,Beauty,Shampoo,36.22,4,0.174,17.89,101.78,Cash,1.2,Completed,0,1,0.3,30.53,2024-06
2F58233A,2024-10-25,Store A,Offline,Corporate,Busan,Beauty,Sunscreen,26.98,4,0.267,20.2,58.91,Card,1.4,Completed,0,1,0.31,18.26,2024-10
1D53D2C3,2024-11-10,Store B,Online,Consumer,Seoul,Grocery,Eggs 12,38.28,5,0.11,4.54,165.81,Card,2.6,Completed,0,1,0.232,38.47,2024-11
4995FECA,2024-01-03,Store B,Offline,Small Business,Seoul,Apparel,Hoodie,78.38,7,0.094,1.38,495.71,Card,5.2,Returned,1,0,0.21,104.1,2024-01
43EC2919,2024-07-05,Store B,Online,Corporate,Seoul,Electronics,Laptop,850.46,4,0.077,1.68,3138.22,E-Wallet,2.0,Completed,0,0,0.283,888.12,2024-07
A14EACF1,2024-06-01,Store D,Online,Corporate,Seoul,Apparel,T-Shirt,36.36,2,0.015,1.07,70.56,Cash,2.8,Completed,0,0,0.361,25.47,2024-06
969E53C4,2024-03-22,Store C,Online,Corporate,Incheon,Electronics,Tablet,260.17,1,0.167,0.55,216.17,Card,2.4,Completed,0,1,0.393,84.95,2024-03
9AFD2DE7,2024-02-13,Store A,Online,Small Business,Busan,Beauty,Lipstick,69.62,3,0.094,0.77,188.46,Card,2.3,Completed,0,0,0.336,63.32,2024-02
32C42032,2024-05-03,Store A,Online,Consumer,Seoul,Home,Vacuum,210.66,6,0.088,1.56,1151.17,Card,3.2,Completed,0,0,0.282,324.63,2024-05
658400F3,2024-12-10,Store D,Offline,Consumer,Seoul,Home,Lamp,72.24,2,0.155,3.89,118.2,E-Wallet,4.7,Completed,0,1,0.299,35.34,2024-12
DDDE95F9,2024-04-27,Store A,Offline,Corporate,Seoul,Electronics,Headphones,352.02,2,0.162,7.09,582.9,Card,3.5,Completed,0,1,0.281,163.79,2024-04
C7208B11,2024-07-08,Store E,Online,Corporate,Seoul,Beauty,Serum,65.65,5,0.052,0.45,310.73,Cash,2.0,Completed,0,0,0.208,64.63,2024-07
BA57CD00,2024-09-13,Store C,Offline,Corporate,Daejeon,Apparel,T-Shirt,62.66,4,0.054,0.59,236.52,Card,6.3,Completed,0,0,0.282,66.7,2024-09
438C8CD3,2024-05-12,Store C,Online,Consumer,Busan,Beauty,Lipstick,56.28,4,0.05,2.89,210.97,Cash,3.1,Completed,0,0,0.187,39.45,2024-05
CE7CEE90,2024-12-20,Store C,Offline,Consumer,Daegu,Home,Air Purifier,109.14,3,0.269,4.23,235.11,E-Wallet,2.3,Cancelled,0,1,0.271,63.71,2024-12
F29460F3,2024-12-17,Store D,Offline,Consumer,Seoul,Apparel,Dress,55.03,7,0.218,14.58,286.65,Cash,4.7,Completed,0,1,0.395,113.23,2024-12
0194B769,2024-04-01,Store B,Online,Small Business,Seoul,Electronics,Camera,893.03,4,0.157,3.14,3008.16,Card,2.4,Completed,0,1,0.338,1016.76,2024-04
6F1BEF44,2024-06-30,Store D,Offline,Consumer,Seoul,Electronics,Smartwatch,335.71,3,0.07,1.14,935.49,Cash,5.0,Completed,0,0,0.215,201.13,2024-06
9F79C8B7,2024-04-19,Store C,Online,Consumer,Daegu,Grocery,Milk 1L,21.25,4,0.079,0.8,77.48,Bank Transfer,2.0,Cancelled,0,0,0.275,21.31,2024-04
A337C305,2024-04-13,Store B,Online,Consumer,Daegu,Grocery,Olive Oil 500ml,34.09,4,0.129,3.58,115.19,Card,4.7,Completed,0,0,0.222,25.57,2024-04
249FFC09,2024-01-14,Store E,Offline,Consumer,Seoul,Home,Vacuum,86.98,2,0.277,3.73,122.04,E-Wallet,3.2,Completed,0,1,0.276,33.68,2024-01
AD4BB801,2024-08-10,Store D,Online,Small Business,Busan,Electronics,Camera,461.41,3,0.123,3.77,1210.2,Cash,4.5,Completed,0,0,0.353,427.2,2024-08
1CE8D6E4,2024-07-02,Store D,Online,Corporate,Seoul,Apparel,Sneakers,79.58,4,0.141,0.3,273.14,E-Wallet,5.3,Completed,0,0,0.326,89.04,2024-07
250F7746,2024-01-19,Store E,Online,Corporate,Busan,Beauty,Shampoo,42.65,4,0.0,1.64,168.96,Cash,1.6,Completed,0,0,0.454,76.71,2024-01
9AE136CA,2024-04-11,Store E,Offline,Consumer,Daejeon,Beauty,Conditioner,41.08,2,0.121,2.27,69.95,Card,4.5,Completed,0,0,0.363,25.39,2024-04
D09AB69E,2024-11-27,Store D,Online,Corporate,Busan,Electronics,Headphones,421.88,3,0.0,1.64,1264.0,Card,1.3,Completed,0,0,0.294,371.62,2024-11
B2966F14,2024-03-28,Store D,Online,Consumer,Busan,Electronics,Laptop,589.98,3,0.061,0.26,1661.71,Card,1.7,Completed,0,0,0.327,543.38,2024-03
51827C68,2024-02-22,Store D,Offline,Corporate,Seoul,Beauty,Conditioner,52.95,3,0.104,0.7,141.63,E-Wallet,2.0,Completed,0,0,0.266,37.67,2024-02
49289A32,2024-06-27,Store D,Offline,Consumer,Seoul,Apparel,Sneakers,83.6,2,0.076,0.27,154.22,Bank Transfer,3.6,Completed,0,0,0.201,31.0,2024-06
