Project_ID,Project_Name,Region,Project_Type,Start_Date,Expected_End_Date,Actual_End_Date,Total_Budget,Spent_Budget,Main_Contractor,Project_Manager,Current_Status,Total_Workers,Safety_Incidents,Material_Cost,Labor_Cost,Equipment_Cost,Risk_Level,Is_Green_Building,Client_Name
PRJ-0040,Dự án Dân dụng 40,Miền Bắc,Dân dụng,1/13/2024,11/25/2024,,242.61,176.94,Hòa Bình,Trần Thị B,Suspended,19,3,84.01,37.35,23.42,High,TRUE,SunGroup
PRJ-0041,Dự án Thương mại 41,Miền Nam,Thương mại,1/4/2019,12/23/2020,,1099.28,35.4,Ricons,Trần Thị B,Planning,19,0,15.2,9.9,4.38,Medium,FALSE,Masterise
PRJ-0042,Dự án Công nghiệp 42,Miền Bắc,Công nghiệp,1/31/2022,8/17/2024,,688.52,281.8,Hòa Bình,Lê Văn C,Suspended,6,5,137.16,62.07,31.44,Low,FALSE,Đất Xanh
PRJ-0043,Dự án Dân dụng 43,Miền Nam,Dân dụng,5/8/2021,8/10/2023,8/30/2023,63.44,63.44,Delta,Trần Thị B,Completed,186,0,26.55,12.88,8.82,Medium,TRUE,Nhà nước
PRJ-0044,Dự án Dân dụng 44,Miền Trung,Dân dụng,7/19/2023,8/13/2025,,812.93,29.01,Hòa Bình,Lê Văn C,Planning,10,0,13.15,7.03,4.17,Low,TRUE,Đất Xanh
PRJ-0045,Dự án Dân dụng 45,Miền Trung,Dân dụng,12/31/2020,11/18/2021,,697.21,353.24,Vinaconex,Hoàng Thị E,Suspended,19,4,168.33,86.84,52.49,High,TRUE,Nhà nước
PRJ-0046,Dự án Dân dụng 46,Miền Trung,Dân dụng,2/14/2024,9/29/2026,,1175.5,272.81,Hòa Bình,Nguyễn Văn A,In Progress,1514,0,131.36,72.37,29.12,High,TRUE,Masterise
PRJ-0047,Dự án Thương mại 47,Miền Nam,Thương mại,2/21/2023,12/24/2023,3/17/2024,337.33,337.33,Vinaconex,Hoàng Thị E,Completed,931,5,151.8,92.5,39.98,Low,FALSE,Nhà nước
PRJ-0048,Dự án Thương mại 48,Miền Bắc,Thương mại,5/22/2020,1/13/2021,2/26/2021,628.32,628.32,Fecon,Phạm Văn D,Completed,1772,3,290.05,161.99,70.88,Low,TRUE,BIM Group
PRJ-0049,Dự án Thương mại 49,Miền Bắc,Thương mại,3/18/2023,11/29/2024,,256.77,9.76,Fecon,Lê Văn C,Planning,4,0,4.13,2.13,1.29,Medium,FALSE,Phát Đạt
PRJ-0050,Dự án Hạ tầng 50,Miền Trung,Hạ tầng,3/18/2023,2/1/2025,,811.93,674.22,Delta,Lê Văn C,In Progress,180,2,309.27,141.44,87.49,High,FALSE,Masterise
PRJ-0051,Dự án Dân dụng 51,Miền Nam,Dân dụng,5/28/2020,9/30/2021,,217.96,110.09,Delta,Lê Văn C,In Progress,949,1,49.28,32.89,15.45,High,TRUE,Đất Xanh
PRJ-0052,Dự án Dân dụng 52,Miền Bắc,Dân dụng,3/3/2024,9/11/2026,12/9/2026,329.24,329.24,Coteccons,Hoàng Thị E,Completed,290,3,144.73,70.25,34.72,Medium,TRUE,BIM Group
PRJ-0053,Dự án Dân dụng 53,Miền Trung,Dân dụng,1/8/2022,1/8/2023,,1268.77,538.5,Delta,Lê Văn C,In Progress,507,5,263.71,120.93,57.98,Low,FALSE,SunGroup
PRJ-0054,Dự án Hạ tầng 54,Miền Trung,Hạ tầng,10/15/2021,10/2/2022,,1178.25,51.14,Conteccons,Trần Thị B,Planning,15,0,24.05,10.32,6.66,High,FALSE,Phát Đạt
PRJ-0055,Dự án Hạ tầng 55,Miền Nam,Hạ tầng,4/21/2022,3/11/2023,,1160.67,365.94,Vinaconex,Lê Văn C,Suspended,11,1,161.82,86.92,48.67,Low,TRUE,BIM Group
PRJ-0056,Dự án Hạ tầng 56,Miền Trung,Hạ tầng,1/12/2020,12/17/2021,,1033.69,48.94,Coteccons,Lê Văn C,Planning,1,0,20.08,10.42,6.47,Medium,TRUE,Novaland
PRJ-0057,Dự án Dân dụng 57,Miền Nam,Dân dụng,4/12/2023,7/19/2024,,683.21,22.83,Vinaconex,Vũ Văn F,Planning,8,0,10.97,4.94,2.55,High,TRUE,Phát Đạt
PRJ-0058,Dự án Hạ tầng 58,Miền Nam,Hạ tầng,8/18/2020,5/5/2023,4/17/2023,1467.16,1467.16,Fecon,Lê Văn C,Completed,1116,1,700.32,369.96,187.72,High,FALSE,Đất Xanh
PRJ-0059,Dự án Công nghiệp 59,Miền Trung,Công nghiệp,5/4/2020,6/1/2021,,1105.42,925.52,Ricons,Vũ Văn F,Suspended,20,1,441.3,272.11,131.31,High,FALSE,Masterise
PRJ-0060,Dự án Thương mại 60,Miền Nam,Thương mại,5/14/2018,8/23/2019,,607.88,237.49,Delta,Nguyễn Văn A,Suspended,15,1,97.69,52.68,34.49,High,FALSE,SunGroup
PRJ-0061,Dự án Hạ tầng 61,Miền Trung,Hạ tầng,10/26/2023,7/16/2025,,335.23,15.73,Coteccons,Lê Văn C,Planning,5,0,6.95,3.63,1.58,Low,TRUE,Novaland
PRJ-0062,Dự án Công nghiệp 62,Miền Trung,Công nghiệp,3/26/2021,7/28/2022,,566.34,315.96,Hòa Bình,Nguyễn Văn A,In Progress,579,5,155.69,89.28,45.21,High,TRUE,Đất Xanh
PRJ-0063,Dự án Dân dụng 63,Miền Bắc,Dân dụng,6/11/2018,10/26/2019,,341.97,7.57,Vinaconex,Nguyễn Văn A,Planning,10,0,3.56,2.05,1.08,High,FALSE,Phát Đạt
PRJ-0064,Dự án Công nghiệp 64,Miền Trung,Công nghiệp,10/20/2024,7/22/2025,7/29/2025,770.11,770.11,Hòa Bình,Lê Văn C,Completed,1697,4,347.77,171.16,110.09,Medium,TRUE,Đất Xanh
PRJ-0065,Dự án Công nghiệp 65,Miền Nam,Công nghiệp,3/13/2018,10/23/2020,,219.61,114.51,Hòa Bình,Lê Văn C,In Progress,1170,2,52.44,24.35,16.78,Medium,TRUE,SunGroup
PRJ-0066,Dự án Công nghiệp 66,Miền Bắc,Công nghiệp,12/23/2024,3/26/2026,,809.9,589.46,Vinaconex,Vũ Văn F,In Progress,1864,4,262.62,130.19,75.39,Medium,TRUE,BIM Group
PRJ-0067,Dự án Thương mại 67,Miền Trung,Thương mại,4/26/2024,8/19/2026,,1099.43,20.36,Delta,Phạm Văn D,Planning,10,0,10.01,5.7,2.52,Medium,FALSE,BIM Group
PRJ-0068,Dự án Thương mại 68,Miền Nam,Thương mại,3/8/2023,6/11/2024,,150.83,110.85,Delta,Trần Thị B,In Progress,543,4,47.31,26.41,16.05,Low,FALSE,BIM Group
PRJ-0069,Dự án Dân dụng 69,Miền Nam,Dân dụng,12/17/2022,11/30/2023,11/18/2023,1355.06,1355.06,Delta,Trần Thị B,Completed,807,2,557.58,371.88,150.89,High,TRUE,Novaland
PRJ-0070,Dự án Thương mại 70,Miền Bắc,Thương mại,7/15/2022,1/17/2024,1/6/2024,1394.94,1394.94,Ricons,Vũ Văn F,Completed,1166,5,686.67,302.3,208.36,Low,TRUE,Nhà nước
PRJ-0071,Dự án Dân dụng 71,Miền Trung,Dân dụng,12/31/2022,8/19/2024,,647.01,18.97,Vinaconex,Hoàng Thị E,Planning,10,0,8.33,4.46,2.48,High,FALSE,Phát Đạt
PRJ-0072,Dự án Công nghiệp 72,Miền Bắc,Công nghiệp,2/24/2023,8/6/2024,,946.46,185.07,Vinaconex,Trần Thị B,In Progress,809,4,84.32,41.47,23.8,Low,TRUE,Nhà nước
PRJ-0073,Dự án Dân dụng 73,Miền Nam,Dân dụng,9/15/2023,3/19/2024,,374.36,217.62,Vinaconex,Trần Thị B,Suspended,17,3,108.74,52.86,25.58,Low,FALSE,Novaland
PRJ-0074,Dự án Hạ tầng 74,Miền Trung,Hạ tầng,10/30/2022,9/9/2024,,620.7,141.48,Fecon,Hoàng Thị E,In Progress,124,2,65.01,41.11,16.3,High,FALSE,Novaland
PRJ-0075,Dự án Công nghiệp 75,Miền Nam,Công nghiệp,11/13/2018,4/20/2021,,734.4,230.57,Vinaconex,Vũ Văn F,In Progress,557,0,97.74,55.51,24.86,Low,TRUE,VinGroup
PRJ-0076,Dự án Hạ tầng 76,Miền Trung,Hạ tầng,12/14/2020,10/2/2022,,520.19,20.61,Vinaconex,Phạm Văn D,Planning,2,0,9.15,4.94,2.43,High,TRUE,VinGroup
PRJ-0077,Dự án Dân dụng 77,Miền Bắc,Dân dụng,2/4/2021,12/28/2021,,975,661.15,Vinaconex,Nguyễn Văn A,In Progress,1563,3,296.1,189.83,89.38,Medium,FALSE,VinGroup
PRJ-0078,Dự án Hạ tầng 78,Miền Nam,Hạ tầng,5/7/2023,2/15/2025,,1392.08,926.66,Delta,Trần Thị B,In Progress,423,2,401.75,234.01,129.12,Low,TRUE,Đất Xanh
PRJ-0079,Dự án Hạ tầng 79,Miền Bắc,Hạ tầng,11/14/2019,9/5/2021,,1411.65,831.9,Conteccons,Lê Văn C,In Progress,1765,0,359.9,231.17,106.94,Low,FALSE,Novaland
PRJ-0080,Dự án Hạ tầng 80,Miền Bắc,Hạ tầng,7/13/2019,7/5/2020,9/10/2020,1334.34,1334.34,Fecon,Trần Thị B,Completed,739,3,575.98,293.85,198.02,High,FALSE,SunGroup
PRJ-0081,Dự án Dân dụng 81,Miền Bắc,Dân dụng,7/22/2019,10/31/2020,,1174.4,572.86,Ricons,Vũ Văn F,Suspended,15,5,236.49,162.03,58.76,Low,FALSE,Novaland
PRJ-0082,Dự án Hạ tầng 82,Miền Trung,Hạ tầng,2/7/2020,8/22/2020,11/14/2020,713.29,713.29,Coteccons,Lê Văn C,Completed,1958,3,333.89,155.05,92.11,High,TRUE,Đất Xanh
PRJ-0083,Dự án Công nghiệp 83,Miền Nam,Công nghiệp,8/20/2020,4/22/2022,,723.41,94.24,Conteccons,Hoàng Thị E,In Progress,852,2,44.11,22.5,12.55,Low,TRUE,SunGroup
PRJ-0084,Dự án Dân dụng 84,Miền Trung,Dân dụng,3/26/2018,10/11/2020,,1361.12,41.2,Delta,Lê Văn C,Planning,14,0,17.67,8.6,4.99,Low,FALSE,SunGroup
PRJ-0085,Dự án Dân dụng 85,Miền Trung,Dân dụng,7/31/2024,11/19/2025,12/12/2025,1124.47,1124.47,Delta,Phạm Văn D,Completed,90,2,531.79,273.95,129.52,Medium,TRUE,VinGroup
PRJ-0086,Dự án Hạ tầng 86,Miền Trung,Hạ tầng,9/3/2022,8/22/2023,,1448.56,1013.78,Conteccons,Hoàng Thị E,Suspended,10,0,499.88,283.05,150.52,Medium,FALSE,Phát Đạt
PRJ-0087,Dự án Thương mại 87,Miền Trung,Thương mại,10/12/2020,1/10/2022,,677.5,26.39,Delta,Vũ Văn F,Planning,14,0,13.02,5.81,3.23,Low,FALSE,Masterise
PRJ-0088,Dự án Dân dụng 88,Miền Bắc,Dân dụng,3/8/2022,3/28/2023,,885.39,13,Vinaconex,Hoàng Thị E,Planning,18,0,5.79,3.06,1.71,Low,FALSE,Novaland
PRJ-0089,Dự án Công nghiệp 89,Miền Bắc,Công nghiệp,6/14/2019,10/3/2021,12/20/2021,606.33,606.33,Delta,Trần Thị B,Completed,743,5,258.42,175.68,86.42,Low,FALSE,Đất Xanh
PRJ-0090,Dự án Công nghiệp 90,Miền Nam,Công nghiệp,8/24/2023,11/25/2024,,151.2,2.5,Delta,Phạm Văn D,Planning,2,0,1.1,0.54,0.27,High,TRUE,BIM Group
PRJ-0091,Dự án Dân dụng 91,Miền Trung,Dân dụng,5/9/2020,8/31/2021,,722.34,341.29,Vinaconex,Vũ Văn F,In Progress,508,0,157.18,97.5,45.84,Low,FALSE,BIM Group
PRJ-0092,Dự án Công nghiệp 92,Miền Bắc,Công nghiệp,4/7/2020,8/11/2022,,1230.64,972.36,Hòa Bình,Trần Thị B,In Progress,56,2,482.79,198.47,124.55,Medium,FALSE,Đất Xanh
PRJ-0093,Dự án Dân dụng 93,Miền Bắc,Dân dụng,1/10/2022,7/20/2023,,786.01,20.45,Hòa Bình,Trần Thị B,Planning,5,0,9.44,6.01,2.38,High,FALSE,Novaland
PRJ-0094,Dự án Thương mại 94,Miền Bắc,Thương mại,6/6/2023,6/29/2025,7/11/2025,1366.56,1366.56,Ricons,Trần Thị B,Completed,1793,4,556.58,385.19,152.9,High,FALSE,VinGroup
PRJ-0095,Dự án Công nghiệp 95,Miền Nam,Công nghiệp,5/20/2021,11/24/2022,,1107.61,868.07,Coteccons,Lê Văn C,Suspended,11,1,374.73,179.42,102.15,Medium,FALSE,Đất Xanh
PRJ-0096,Dự án Hạ tầng 96,Miền Bắc,Hạ tầng,9/18/2019,1/15/2021,12/25/2020,412.46,412.46,Conteccons,Nguyễn Văn A,Completed,1864,4,166.32,87.99,56.7,Medium,TRUE,Nhà nước
PRJ-0097,Dự án Thương mại 97,Miền Nam,Thương mại,7/21/2018,3/6/2021,5/21/2021,512.24,512.24,Delta,Trần Thị B,Completed,927,2,210.03,108.92,72.77,High,FALSE,VinGroup
PRJ-0098,Dự án Thương mại 98,Miền Trung,Thương mại,1/12/2024,8/21/2024,,1058.08,392.76,Conteccons,Phạm Văn D,In Progress,1255,1,171.88,96.94,56.1,High,TRUE,SunGroup
PRJ-0099,Dự án Thương mại 99,Miền Trung,Thương mại,5/25/2019,1/7/2021,,1296.02,16.27,Delta,Vũ Văn F,Planning,20,0,6.87,3.72,1.95,High,TRUE,Masterise
PRJ-0100,Dự án Dân dụng 100,Miền Trung,Dân dụng,9/27/2020,2/21/2022,,1334.46,54.87,Vinaconex,Hoàng Thị E,Planning,5,0,26.8,15.08,6.54,Medium,TRUE,Masterise
PRJ-0101,Dự án Thương mại 101,Miền Nam,Thương mại,5/5/2023,1/10/2025,,244.26,11.95,Vinaconex,Lê Văn C,Planning,11,0,5.72,3.21,1.44,High,FALSE,Phát Đạt
PRJ-0102,Dự án Dân dụng 102,Miền Bắc,Dân dụng,8/16/2018,4/3/2021,,720.17,303.36,Delta,Phạm Văn D,Suspended,1,3,148.87,72.31,40.46,High,FALSE,Đất Xanh
PRJ-0103,Dự án Hạ tầng 103,Miền Bắc,Hạ tầng,7/13/2018,10/1/2020,,594.31,420.76,Ricons,Phạm Văn D,Suspended,19,3,200.56,88.4,62.37,Low,TRUE,Nhà nước
PRJ-0104,Dự án Dân dụng 104,Miền Trung,Dân dụng,11/7/2021,6/29/2022,,961.41,29.6,Delta,Phạm Văn D,Planning,19,0,12.9,6.97,4.42,High,FALSE,Nhà nước
PRJ-0105,Dự án Thương mại 105,Miền Nam,Thương mại,1/16/2018,9/1/2020,8/29/2020,863.68,863.68,Coteccons,Lê Văn C,Completed,1902,3,400.72,189.12,109.56,Medium,TRUE,Đất Xanh
PRJ-0106,Dự án Dân dụng 106,Miền Bắc,Dân dụng,3/19/2018,9/22/2018,11/29/2018,504.68,504.68,Delta,Trần Thị B,Completed,135,5,244.46,144,66.23,Low,TRUE,BIM Group
PRJ-0107,Dự án Hạ tầng 107,Miền Bắc,Hạ tầng,6/4/2020,7/30/2022,8/22/2022,682.53,682.53,Fecon,Nguyễn Văn A,Completed,1729,5,288.65,149.8,93.17,High,TRUE,Masterise
PRJ-0108,Dự án Hạ tầng 108,Miền Trung,Hạ tầng,11/12/2019,6/8/2022,6/20/2022,1387.05,1387.05,Ricons,Vũ Văn F,Completed,225,0,631.61,414.57,181.27,Low,TRUE,Novaland
PRJ-0109,Dự án Hạ tầng 109,Miền Bắc,Hạ tầng,11/26/2024,11/29/2025,,1290.82,430.89,Conteccons,Vũ Văn F,Suspended,2,4,208.38,86.36,44.09,High,TRUE,Nhà nước
PRJ-0110,Dự án Thương mại 110,Miền Bắc,Thương mại,4/14/2022,10/20/2024,,511.98,16.61,Delta,Hoàng Thị E,Planning,10,0,7.37,3.68,2.07,Medium,TRUE,Masterise
PRJ-0111,Dự án Hạ tầng 111,Miền Nam,Hạ tầng,9/20/2020,6/15/2022,7/18/2022,109.17,109.17,Hòa Bình,Trần Thị B,Completed,730,1,48.03,26.58,13.44,High,FALSE,Novaland
PRJ-0112,Dự án Công nghiệp 112,Miền Trung,Công nghiệp,11/15/2024,6/26/2027,,853.67,186.03,Hòa Bình,Hoàng Thị E,In Progress,166,3,91.65,50.37,26.62,High,TRUE,SunGroup
PRJ-0113,Dự án Hạ tầng 113,Miền Bắc,Hạ tầng,8/21/2024,10/20/2025,,1197.21,813.77,Fecon,Trần Thị B,In Progress,240,2,386.56,185.35,82,High,FALSE,Đất Xanh
PRJ-0114,Dự án Hạ tầng 114,Miền Trung,Hạ tầng,3/12/2023,11/27/2023,,757.78,104.26,Ricons,Nguyễn Văn A,Suspended,0,2,46.86,26.49,10.43,High,FALSE,Masterise
PRJ-0115,Dự án Dân dụng 115,Miền Bắc,Dân dụng,5/10/2021,8/15/2022,,1108.84,676.89,Vinaconex,Hoàng Thị E,Suspended,14,5,303.79,166.17,94.02,High,TRUE,Masterise
PRJ-0116,Dự án Dân dụng 116,Miền Nam,Dân dụng,10/20/2021,11/14/2022,,750.24,516.46,Hòa Bình,Vũ Văn F,Suspended,14,2,236.91,124.01,74.17,Low,FALSE,Masterise
PRJ-0117,Dự án Hạ tầng 117,Miền Bắc,Hạ tầng,12/24/2023,7/7/2025,,666.14,470.09,Vinaconex,Phạm Văn D,Suspended,0,0,208.94,128.58,50.85,Low,FALSE,BIM Group
PRJ-0118,Dự án Dân dụng 118,Miền Bắc,Dân dụng,5/16/2019,6/4/2021,7/21/2021,288.38,288.38,Delta,Phạm Văn D,Completed,1354,1,136.16,72.14,41.42,Low,TRUE,Đất Xanh
PRJ-0119,Dự án Công nghiệp 119,Miền Bắc,Công nghiệp,11/18/2019,7/21/2020,9/28/2020,480.29,480.29,Coteccons,Nguyễn Văn A,Completed,1871,0,193.94,99.27,57.03,Low,TRUE,VinGroup
PRJ-0120,Dự án Dân dụng 120,Miền Bắc,Dân dụng,12/16/2020,12/19/2022,,1134.58,43.1,Vinaconex,Hoàng Thị E,Planning,2,0,20.3,10.01,6.39,High,FALSE,Nhà nước
PRJ-0121,Dự án Thương mại 121,Miền Trung,Thương mại,1/13/2020,6/29/2021,,1170.26,788.69,Fecon,Phạm Văn D,Suspended,19,5,371.91,229.27,95.16,Medium,TRUE,Novaland
PRJ-0122,Dự án Công nghiệp 122,Miền Bắc,Công nghiệp,9/19/2020,6/13/2023,,1249.53,31.69,Vinaconex,Nguyễn Văn A,Planning,2,0,14.95,7.31,3.87,Medium,TRUE,Đất Xanh
PRJ-0123,Dự án Dân dụng 123,Miền Nam,Dân dụng,8/29/2024,1/2/2027,,534.53,5.79,Delta,Vũ Văn F,Planning,13,0,2.4,1.28,0.65,Low,FALSE,Masterise
